"STATION","DATE","HN01","LN01","PRCP","TAVG"
"USC00042294","2020","89","44","6.80","63.8"
"USC00042294","2021","90","42","18.59","64.2"
"USC00042294","2022","84","42","12.43","63.2"
"USC00404946","2014","82","30","46.99",
"USC00404946","2015","86","32","62.39","59.4"
"USC00404946","2016",,,"46.77",
"USC00404946","2017","84","30","58.28","60.5"
"USC00404946","2018","87","30","72.98","59.6"
"USC00404946","2019",,,"64.84","59.8"
"USC00404946","2020","87","29","72.02","58.7"
"USC00404946","2021","87","29","55.31","59.5"
"USC00404946","2022","88","15","60.84","59.2"
"USC00155097","2014","76","31","46.35","58.0"
"USC00155097","2015",,,"62.73","60.3"
"USC00155097","2016","78","33","53.39","61.6"
"USC00155097","2017","77","33","54.21","61.7"
"USC00155097","2018","79","31","58.48","60.6"
"USC00155097","2019","78","24","64.89","60.9"
"USC00155097","2020",,,"63.59","60.6"
"USC00155097","2021","80","34","68.22","60.5"
"USC00155097","2022","80","33","52.34","60.2"
"USC00081544","2014",,,"68.51","65.3"
"USC00081544","2015",,,"69.60","69.0"
"USC00081544","2016",,,"71.91","68.8"
"USC00081544","2017",,,"59.16","68.8"
"USC00081544","2018",,,,
"USC00161411","2014","83","33","54.74","61.4"
"USC00161411","2015","85","33","66.83","64.5"
"USC00161411","2016",,,,
"USC00161411","2022",,,,
"USC00341726","2014","86","30",,"58.2"
"USC00341726","2015","86","29",,"60.4"
"USC00341726","2016","88","26",,"61.4"
"USC00341726","2017","88","29","30.48","60.6"
"USC00341726","2018","88","25",,"59.4"
"USC00341726","2019","86","32",,"58.6"
"USC00341726","2020","87","33",,"59.2"
"USC00341726","2021","86","26",,"59.8"
"USC00341726","2022","90","27",,"59.9"
"USC00115079","2014",,,"44.26","48.8"
"USC00115079","2015",,,"48.61","52.3"
"USC00115079","2016",,,"39.77","54.2"
"USC00115079","2017",,,"33.53","53.7"
"USC00115079","2018",,,"42.20","51.6"
"USC00115079","2019",,,,
"USC00115079","2020",,,"35.47","53.0"
"USC00115079","2021",,,"42.38","53.5"
"USC00115079","2022",,,"36.44","51.2"
"USC00425194","2014",,,"18.03","47.8"
"USC00425194","2015",,,"17.52","48.6"
"USC00425194","2016",,,"21.79","47.3"
"USC00425194","2017","79","27","25.87","46.8"
"USC00425194","2018","77","26","13.11","47.2"
"USC00425194","2019",,,"21.88","44.9"
"USC00425194","2020",,,"9.96","46.5"
"USC00425194","2021",,,"16.88","48.8"
"USC00425194","2022",,,"16.17","46.3"
"USC00168163","2014",,,"61.98",
"USC00168163","2015","90","31","60.58","67.7"
"USC00168163","2016",,,"55.86",
"USC00168163","2017",,,"53.76","68.0"
"USC00168163","2020",,,,
"USC00168163","2021",,,,
"USC00168163","2022","86","36","52.81","67.0"
"USC00153389","2014",,,,
"USC00148235","2014","80","29","16.32","52.3"
"USC00148235","2015",,,"21.73","54.0"
"USC00148235","2016","79","32","19.99","54.3"
"USC00148235","2017","81","24","23.46","53.6"
"USC00148235","2018","81","26","19.66","52.4"
"USC00148235","2019","78","29","19.59","50.9"
"USC00148235","2020","80","31","14.57","52.4"
"USC00148235","2021","78","19","22.13","51.9"
"USC00148235","2022","82","21","14.52","51.2"
"USC00100010","2014",,,"9.91","46.7"
"USC00100010","2015",,,"9.29","47.1"
"USC00100010","2016",,,"14.76","44.7"
"USC00100010","2017",,,"14.34",
